Merk,Tipe,Ram,Internal,Harga_Beli,Tgl_Beli,Tgl_Datang,Kondisi,Keterangan_Kondisi,Status,Refund,Tgl_Laku,Keterangan_Jual,Harga_Jual,Biaya_Tambahan,Keterangan_Biaya_Tambahan
Oppo,F7,4,64,743000,27/04/2022,30/04/2022,Normal,-,Terjual,-,2/5/2022,Batangan,900000,0,-
Samsung,A03S,4,64,1160000,27/04/2022,29/04/2022,Normal,-,Terjual,-,5/5/2022,Batangan,1250000,0,-
Samsung,A11,3,32,806000,28/04/2022,30/04/2022,Normal,-,Terjual,-,4/5/2022,With Charger,1100000,40000,Charger
Xiaomi,Redmi Note 7,4,64,1060000,28/04/2022,30/04/2022,Normal,-,Terjual,-,4/5/2022,Batangan,1200000,0,-
Oppo,A31,4,128,1224000,6/5/2022,10/5/2022,Cacat,Ada titik di layar bagian tengah,Refund,Success,14/5/2022,Refund,1224000,23000,Ongkir
Samsung,A21S,3,32,1223000,6/5/2022,10/5/2022,Normal,-,Terjual,-,12/5/2022,With Box + Charger,1400000,40000,Charger
Samsung ,M21,4,64,1347000,7/5/2022,10/5/2022,Normal,-,Terjual,-,12/5/2022,With Box + Charger,1500000,0,-
Vivo,Y91 (Y93 2019),2,16,607000,7/5/2022,10/5/2022,Cacat,Layar retak di bagian piggir,Refund,Success,23/5/2022,Refund,607000,15000,Ongkir
Samsung,M30S,4,64,1242000,15/5/2022,19/5/2022,Cacat,Layar sentuh susah,Refund,Success,30/5/2022,Refund ,1242000,15000,Ongkir
Samsung,A03S,4,64,1169000,18/5/2022,20/5/2022,Cacat,Layar shadow,Refund,Success,31/5/2022,Refund,1169000,15000,Ongkir
Oppo,A15,3,32,958000,18/5/2022,20/5/2022,Normal,-,Terjual,-,25/5/2022,With Charger,1150000,40000,Charger
Samsung,A21S,4,64,1250000,27/5/2022,30/5/2022,Cacat,Layar poal pinggir di bagian kiri atas,Refund,Tuker Barang,30/7/2022,"Tuker barang dengan ram 3, internal 32",1250000,15000,Ongkir
Samsung,A7 2018,4,64,974000,31/5/2022,2/6/2022,Cacat,"Layar retak, Casing belakang mbuka",Refund,Reject,30/6/2022,Batangan,930000,15000,Ongkir
Realme,Realme 3,3,64,957000,4/6/2022,7/6/2022,Cacat,"Layar Error, sentuh mblandrang",Refund,Success,18/6/2022,Refund,957000,15000,Charger
Samsung ,J4+,2,32,581000,4/6/2022,7/6/2022,Normal,-,Terjual,-,21/7/2022,With Charger,700000,35000,Charger
Oppo,A5S,3,32,840000,7/6/2022,10/6/2022,Cacat,"eMMC bermasalah, bootloop",Terjual,-,23/8/2022,Batangan,900000,450000,Service eMMC
Vivo,Y91 (Y93 2019),2,32,710000,3/8/2022,5/8/2022,Normal,-,Terjual,-,6/8/2022,With Charger,920000,40000,Charger
Samsung,J4+,2,32,471000,6/8/2022,9/8/2022,Normal,-,Terjual,-,20/8/2022,With Charger,650000,35000,Charger
Samsung ,M20,3,32,774000,9/8/2022,11/8/2022,Cacat,"LCD gantian, sensor bermasalah",Refund,Success,19/8/2022,Refund,774000,15000,Ongkir
Oppo,A15,3,32,905000,20/8/2022,23/8/2022,Normal,-,Terjual,-,25/8/2022,Batangan,1050000,0,-
Samsung,A03,4,64,886000,20/8/2022,23/8/2022,Cacat,Body melengkung,Refund,Reject,8/9/2022,Batangan,800000,15000,Ongkir
Samsung,A03S,4,64,1030000,23/8/2022,25/8/2022,Cacat,Layar shadow,Refund,Success,7/9/2022,Refund,1030000,15000,Ongkir
Samsung,J2 Prime,"1,5",8,246000,27/8/2022,29/8/2022,Normal,-,Terjual,-,1/10/2022,With Charger,400000,25000,Charger
Xiaomi,Redmi 3S,3,32,380000,28/8/2022,31/8/2022,Cacat,Sinyal tidak stabil,Refund,Success,8/9/2022,Refund,380000,15000,Ongkir
samsung,A20S,4,64,1002000,18/9/2022,21/9/2022,Cacat,Layar sentuh kadang macet,Refund,Success,29/9/2022,Refund,1002000,15000,Ongkir
Samsung ,A03S,4,64,1040000,18/9/2022,21/9/2022,Normal,-,Terjual,-,1/10/2022,With Charger,1200000,30000,Charger
Samsung,A02,3,32,680000,21/9/2022,25/9/2022,Normal,-,Terjual,-,2/10/2022,With Charger,850000,30000,Charger
Xiaomi,Redmi S2,3,32,567000,22/9/2022,26/9/2022,Normal,-,Terjual,-,18/10/2022,With Charger,750000,30000,Charger
Samsung,J6+,3,32,519000,24/9/2022,29/9/2022,Normal,-,Pemasaran,-,,,,,
Samsung,A20S,4,64,960000,30/9/2022,3/10/2022,Normal,-,Terjual (Belum Lunas),-,,,,,
Realme,C25y,4,64,1250000,6/10/2022,10/10/2022,Normal,-,Terjual (Belum Lunas),-,12/10/2022,With Box + Charger,1450000,40000,Charger
Samsung,A20S,3,32,769000,14/10/2022,16/10/2022,Normal,-,Pemasaran,-,,,,,
Samsung ,M20,3,32,675000,15/10/2022,19/10/2022,Normal,-,Pemasaran,-,,,,,
Oppo,F11,4,128,1001000,25/10/2022,27/10/2022,Normal,-,Pemasaran,-,,,,,
Samsung,A20S,4,64,901000,26/10/2022,28/10/2022,Normal,Body sebelah samping gompal,Pemasaran,-,,,,,
